Netflows,First_Protocol,Second_Protocol,Third_Protocol,p1_d,p2_d,p3_d,duration,max_d,min_d,#packets,Avg_bps,Avg_pps,Avg_bpp,#Bytes,#sp,#dp,first_sp,second_sp,third_sp,first_dp,second_dp,third_dp,p1_ip,p2_ip,p3_ip,p1_ib,p2_ib,p3_ib,Type,Cryptocurrency
258,TCP,UDP,ICMP6,0.0,0.0,1.27825,2477.993,69.847,0.0,5795,274020,40,837,4855429,67,66,443,80.0,53.0,443,80.0,53.0,1.0,1.0,3.0,32.0,32.0,323.0,not_mine,Does not have
2,TCP,,,562.901,562.901,562.901,1125.802,562.901,562.901,42,77,0,129,5449,2,2,51085,14444.0,,51085,14444.0,,21.0,21.0,21.0,1748.25,2724.5,3700.75,mine,Monero
2,TCP,,,286.504,286.504,286.504,573.008,286.504,286.504,56,486,0,311,17438,2,2,3333,56490.0,,3333,56490.0,,27.0,28.0,29.0,4924.5,8719.0,12513.5,mine,Litecoin
4,TCP,,,15.88375,40.1235,69.48725,180.99,84.86,15.883,23,621,0,371,8542,2,2,3333,53058.0,,3333,53058.0,,2.0,5.5,9.25,145.0,998.0,2988.5,mine,Litecoin
18,UDP,TCP,,0.0,0.0,0.0,8.26,7.0,0.0,32,1251,0,231,7402,10,12,53,443.0,50404.0,53,50404.0,58106.0,1.0,1.0,1.0,45.5,59.5,94.0,not_mine,Does not have
15,TCP,,,9.5915,39.976,76.8905,724.6529999999998,123.92,0.028999999999999998,440,1256,1,133,58794,2,2,4444,55582.0,,55582,4444.0,,5.0,24.0,45.5,858.0,1642.0,4689.0,mine,Etherium
46,TCP,UDP,,120.1475,148.20299999999997,149.51275,6124.754999999999,208.291,0.225,317,1006,1,83,26470,27,24,443,80.0,54056.0,443,80.0,1900.0,5.0,7.0,7.0,160.0,252.0,287.0,not_mine,Does not have
181,TCP,UDP,,0.0,0.0,29.686,2444.5370000000003,68.0,0.0,5388,231531,33,855,4609814,45,44,443,123.0,80.0,443,123.0,80.0,1.0,1.0,2.0,40.0,48.0,96.0,not_mine,Does not have
2,TCP,,,283.628,283.628,283.628,567.256,283.628,283.628,28,297,0,376,10533,2,2,59090,3337.0,,59090,3337.0,,14.0,14.0,14.0,2773.25,5266.5,7759.75,mine,Bitcash
2,UDP,,,0.0,0.0,0.0,0.0,0.0,0.0,2,16000,48,41,82,2,2,54337,53.0,,54337,53.0,,1.0,1.0,1.0,37.0,41.0,45.0,not_mine,Does not have
42,TCP,UDP,,102.92225,104.444,233.9935,5715.4940000000015,240.263,0.0,496,2418,1,178,88778,24,23,443,123.0,80.0,443,80.0,123.0,5.0,6.0,7.0,168.0,248.0,315.0,not_mine,Does not have
2,TCP,,,542.1469999999999,542.1469999999999,542.1469999999999,1084.2939999999999,542.1469999999999,542.1469999999999,46,327,0,481,22163,2,2,59090,3337.0,,59090,3337.0,,23.0,23.0,23.0,5770.75,11081.5,16392.25,mine,Bitcash
2,TCP,,,560.13575,560.1535,560.17125,1120.307,560.189,560.118,664,1301,1,137,91168,2,2,4444,58780.0,,4444,58780.0,,321.0,332.0,343.0,30166.5,45584.0,61001.5,mine,Etherium
6,TCP,,,18.843,61.2455,172.61124999999996,550.714,209.72,4.061,346,1317,1,133,46340,2,2,4444,58780.0,,4444,58780.0,,10.75,36.5,104.25,876.5,4121.0,7556.0,mine,Etherium
12,UDP,TCP,,0.0,0.0,0.0,1.514,1.268,0.0,23,475,1,54,1247,8,8,53,59099.0,36270.0,53,59099.0,36270.0,1.0,1.0,1.0,45.0,54.0,96.0,not_mine,Does not have
78,TCP,UDP,ICMP6,45.05625000000001,58.234,90.11125,4324.637999999999,104.671,0.0,299,1297,2,68,20361,44,41,443,80.0,0.0,443,80.0,1900.0,3.0,4.0,5.0,61.0,128.0,216.0,not_mine,Does not have
2,TCP,,,558.6292500000002,558.6295,558.62975,1117.259,558.63,558.629,82,491,0,418,34335,2,2,3337,54082.0,,3337,54082.0,,41.0,41.0,41.0,8993.75,17167.5,25341.25,mine,Bitcash
69,TCP,UDP,,89.353,137.64,167.93599999999998,8921.81,213.592,3.003,428,837,1,71,30487,39,35,443,80.0,55936.0,443,80.0,1900.0,5.0,6.0,6.0,120.0,151.0,197.0,not_mine,Does not have
2,TCP,,,565.4002499999998,565.4005,565.40075,1130.8010000000002,565.401,565.4,51,344,0,477,24359,2,2,3337,49875.0,,3337,49875.0,,25.25,25.5,25.75,6402.25,12179.5,17956.75,mine,Bitcash
390,TCP,UDP,,0.0,0.0,45.04275,5167.508,61.562,0.0,6630,228915,37,758,5031413,104,106,443,53.0,80.0,443,53.0,80.0,1.0,1.0,3.0,32.0,32.0,222.5,not_mine,Does not have
